t,x,y,z
1.106,14.14729999,16.04604622,32.56536518
1.108,14.18326943,15.88082611,32.84322153
1.11,14.21517732,15.70780701,33.11589035
1.112,14.24295133,15.52716261,33.3830296
1.114,14.26652421,15.3390842,33.64430514
1.116,14.28583397,15.14378026,33.89939178
1.118,14.30082418,14.94147606,34.14797442
1.12,14.31144412,14.73241317,34.38974899
1.122,14.31764903,14.51684863,34.62442364
1.124,14.31940026,14.29505424,34.85171972
1.126,14.31666547,14.06731598,35.0713726
1.128,14.30941874,13.833933,35.28313267
1.13,14.2976407,13.59521657,35.48676612
1.132,14.28131867,13.35148917,35.68205566
1.134,14.26044668,13.10308366,35.86880128
1.136,14.23502559,12.85034185,36.04682076
1.138,14.20506306,12.59361344,36.21595017
1.14,14.1705736,12.33325498,36.37604441
1.142,14.13157859,12.06962861,36.5269775
1.144,14.08810615,11.80310074,36.66864275
1.146,14.04019114,11.53404084,36.80095295
1.148,13.9878751,11.26282036,36.92384062
1.15,13.93120609,10.98981135,37.03725774
1.152,13.87023857,10.71538519,37.1411757
1.154,13.80503325,10.43991148,37.23558517
1.156,13.73565699,10.16375691,37.32049588
1.158,13.6621825,9.88728397,37.39593605
1.16,13.58468815,9.610849923,37.46195198
1.162,13.50325782,9.334805732,37.51860771
1.164,13.41798059,9.059495055,37.56598436
1.166,13.32895053,8.785253288,37.6041795
1.168,13.23626638,8.51240663,37.63330626
1.17,13.14003125,8.241271288,37.65349269
1.172,13.04035239,7.972152705,37.66488097
1.174,12.93734088,7.705344859,37.66762662
1.176,12.83111129,7.44112967,37.66189756
1.178,12.72178137,7.179776395,37.64787318
1.18,12.60947175,6.921541174,37.62574343
1.182,12.4943056,6.666666649,37.59570788
1.184,12.37640833,6.415381593,37.5579748
1.186,12.25590725,6.167900692,37.5127602
1.188,12.13293126,5.924424349,37.46028687
1.19,12.00761055,5.685138528,37.40078343
1.192,11.88007623,5.450214759,37.33448348
1.194,11.7504601,5.219810113,37.26162459
1.196,11.6188943,4.994067286,37.18244751
1.198,11.48551107,4.773114745,37.09719528
1.2,11.35044238,4.557066884,37.0061124
1.202,11.21381977,4.346024277,36.90944407
1.204,11.075774,4.140073967,36.80743541
1.206,10.93643484,3.939289762,36.70033077
1.208,10.79593081,3.743732619,36.58837301
1.21,10.654389,3.553451031,36.47180295
1.212,10.51193479,3.368481462,36.35085872
1.214,10.36869171,3.188848775,36.22577521
1.216,10.2247812,3.014566732,36.0967836
1.218,10.08032248,2.845638461,35.96411092
1.22,9.935432361,2.682056982,35.82797957
1.222,9.790225113,2.523805702,35.68860701
1.224,9.64481232,2.370858963,35.54620541
1.226,9.499302761,2.223182543,35.40098135
1.228,9.353802305,2.080734214,35.2531356
1.23,9.208413813,1.943464243,35.10286289
1.232,9.063237055,1.81131594,34.95035175
1.234,8.918368636,1.684226156,34.79578434
1.236,8.773901939,1.562125816,34.6393364
1.238,8.629927077,1.444940408,34.48117714
1.24,8.486530851,1.332590457,34.32146922
1.242,8.343796724,1.224992004,34.16036868
1.244,8.201804804,1.122057098,33.99802503
1.246,8.060631836,1.023694205,33.83458122
1.248,7.920351199,0.929808646,33.67017374
1.25,7.781032918,0.840303024,33.50493264
1.252,7.642743678,0.755077592,33.3389817
1.254,7.505546848,0.674030649,33.17243846
1.256,7.369502514,0.597058886,33.00541439
1.258,7.234667511,0.524057722,32.83801501
1.26,7.10109547,0.454921634,32.67034005
1.262,6.96883686,0.389544445,32.50248359
1.264,6.83793905,0.327819617,32.33453422
